sortNumber;code;officialTitle;mediumTitle;shortTitle
1452;SK0321508748;Lubietova;Lubietova;Lubietova
1453;SK0321508756;Lucatin;Lucatin;Lucatin
1454;SK0321508764;Medzibrod;Medzibrod;Medzibrod
1455;SK0321508781;Molca;Molca;Molca
1456;SK0321508799;Mostenica;Mostenica;Mostenica
1457;SK0321508802;Motycky;Motycky;Motycky
1458;SK0321508837;Oravce;Oravce;Oravce
1459;SK0321508861;Podkonice;Podkonice;Podkonice
1460;SK0321508896;Pohronsky Bukovec;Pohronsky Bukovec;Pohronsky Bukovec
1461;SK0321508918;Poniky;Poniky;Poniky
1462;SK0321508926;Povraznik;Povraznik;Povraznik
1463;SK0321508942;Priechod;Priechod;Priechod
1464;SK0321508969;Riecka;Riecka;Riecka
1465;SK0321508977;Sebedin-Becov;Sebedin-Becov;Sebedin-Becov
1466;SK0321508985;Selce;Selce;Selce
1467;SK0321509001;Slovenska Lupca;Slovenska Lupca;Slovenska Lupca
1468;SK0321509019;Stare Hory;Stare Hory;Stare Hory
1469;SK0321509027;Strelniky;Strelniky;Strelniky
1470;SK0321509035;Spania Dolina;Spania Dolina;Spania Dolina
1471;SK0321509060;Tajov;Tajov;Tajov
1472;SK0321557269;Turecka;Turecka;Turecka
1473;SK0321557277;Kyncelova;Kyncelova;Kyncelova
1474;SK0321557285;Nemce;Nemce;Nemce
1475;SK0321557293;Vlkanova;Vlkanova;Vlkanova
1476;SK0321580236;Hronsek;Hronsek;Hronsek
1477;SK0321580244;Malachov;Malachov;Malachov
1478;SK0322516597;Svaty Anton;Svaty Anton;Svaty Anton
1479;SK0322516601;Badan;Badan;Badan
1480;SK0322516627;Banska Bela;Banska Bela;Banska Bela
1481;SK0322516643;Banska Stiavnica;Banska Stiavnica;Banska Stiavnica
1482;SK0322516651;Bansky Studenec;Bansky Studenec;Bansky Studenec
1483;SK0322516678;Beluj;Beluj;Beluj
1484;SK0322516716;Dekys;Dekys;Dekys
1485;SK0322516856;Ilija;Ilija;Ilija
1486;SK0322516953;Kozelnik;Kozelnik;Kozelnik
1487;SK0322517071;Mociar;Mociar;Mociar
1488;SK0322517143;Podhorie;Podhorie;Podhorie
1489;SK0322517160;Pocuvadlo;Pocuvadlo;Pocuvadlo
1490;SK0322517178;Prencov;Prencov;Prencov
1491;SK0322517283;Stiavnicke Bane;Stiavnicke Bane;Stiavnicke Bane
1492;SK0322517372;Vysoka;Vysoka;Vysoka
1493;SK0323508446;Bacuch;Bacuch;Bacuch
1494;SK0323508462;Benus;Benus;Benus
1495;SK0323508489;Bravacovo;Bravacovo;Bravacovo
1496;SK0323508497;Brezno;Brezno;Brezno
1497;SK0323508527;Cierny Balog;Cierny Balog;Cierny Balog
1498;SK0323508535;Dolna Lehota;Dolna Lehota;Dolna Lehota
1499;SK0323508578;Drabsko;Drabsko;Drabsko
1500;SK0323508608;Helpa;Helpa;Helpa
1501;SK0323508624;Horna Lehota;Horna Lehota;Horna Lehota
1502;SK0323508667;Hronec;Hronec;Hronec
1503;SK0323508691;Jaraba;Jaraba;Jaraba
1504;SK0323508705;Jasenie;Jasenie;Jasenie
1505;SK0323508730;Lom nad Rimavicou;Lom nad Rimavicou;Lom nad Rimavicou
1506;SK0323508772;Michalova;Michalova;Michalova
1507;SK0323508811;Myto pod Dumbierom;Myto pod Dumbierom;Myto pod Dumbierom
1508;SK0323508829;Nemecka;Nemecka;Nemecka
1509;SK0323508845;Osrblie;Osrblie;Osrblie
1510;SK0323508853;Podbrezova;Podbrezova;Podbrezova
1511;SK0323508870;Pohorela;Pohorela;Pohorela
1512;SK0323508888;Pohronska Polhora;Pohronska Polhora;Pohronska Polhora
1513;SK0323508900;Polomka;Polomka;Polomka
